Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,2109.0,8009.91,58.9,0.0,8068.81,660.32
Total,2109.0,8009.91,58.9,0.0,8068.81,660.32
