Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,102,2092.02,0.0,0.0,159.44,0.0,0.0,0.00,2092.02,0.0
Credit/debit,,302,6578.21,658.48,114.05,500.88,0.0,0.0,658.48,7350.74,12.7
Credit/debit,AMEX,11,302.01,35.27,0.0,23.01,0.0,0.0,35.27,337.28,12.1
Credit/debit,DISCOVER,3,74.49,10.65,0.0,5.67,0.0,0.0,10.65,85.14,15.5
Credit/debit,MASTERCARD,112,2663.08,298.85,50.91,202.73,0.0,0.0,298.85,3012.84,14.2
Credit/debit,VISA,176,3538.63,313.71,63.14,269.47,0.0,0.0,313.71,3915.48,11.5
Gift Card,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Other,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Total,,404,8670.23,658.48,114.05,660.32,0.0,0.0,658.48,9442.76,9.6
