Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,136,4672.6,29.99,4702.59,385.31
Drive Thru,209,2743.62,11.04,2754.66,226.07
Take Out,38,593.69,17.87,611.56,48.94
Total,383,8009.91,58.90,8068.81,660.32
