Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1644.63,120,13.71,114,14.83,120,13.71,21.73
Table Service,2258.68,148,15.26,76,31.84,68,33.22,46.93
Total,3903.31,268,14.56,190,21.63,188,20.76,30.89
