Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,664.0,3169.03,87.08,0,3256.11,261.51
NA Beverage,201.0,570.74,1.4,0,572.14,47.04
Liquor,13.0,141.09,0.0,0,141.09,11.65
Draft Beer,5.0,22.45,0.0,0,22.45,1.86
Total,883.0,3903.31,88.48,0,3991.79,322.06
