Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,2.0,5.78,0.0,0,5.78,0.48
Dining Room,566.0,2752.01,29.63,0,2781.64,227.02
Drive Thru,298.0,1114.22,9.13,0,1123.35,91.97
No Revenue Center,17.0,31.3,49.72,0,81.02,2.59
Total,883.0,3903.31,88.48,0,3991.79,322.06
