Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,74,2362.37,79.35,2441.72,194.84
Drive Thru,100,1158.79,9.13,1167.92,95.66
Take Out,14,382.15,0.0,382.15,31.56
Total,188,3903.31,88.48,3991.79,322.06
