Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,4.0,7.36,0.0,0.0,7.36,0.6
Dining Room,572.0,2603.96,38.59,0.0,2642.55,214.76
Drive Thru,313.0,1156.17,0.2,0.0,1156.37,95.33
No Revenue Center,4.0,10.98,17.98,0.0,28.96,0.91
Total,893.0,3778.47,56.77,0.0,3835.24,311.60
