Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,61,1056.13,29.62,0.0,1085.75,87.11
Lunch,81,1724.97,24.8,0.0,1749.77,142.19
Dinner,23,698.03,1.8,0.0,699.83,57.54
No Service,22,299.34,0.55,0.0,299.89,24.76
Total,187,3778.47,56.77,0.0,3835.24,311.60
