Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,49,1084.41,9.38,1093.79,89.48
Drive Thru,157,1606.96,0.0,1606.96,132.31
Take Out,41,528.35,2.39,530.74,43.5
Total,247,3219.72,11.77,3231.49,265.29
