Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,424.0,2147.13,56.89,0.0,2204.02,177.05
Drive Thru,357.0,1225.1,14.24,0.0,1239.34,100.97
No Revenue Center,1.0,0.75,0.0,0.0,0.75,0.06
Total,782.0,3372.98,71.13,0.0,3444.11,278.08
