Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1684.81,118,14.28,121,15.07,118,14.28,9.08
Table Service,1688.17,117,14.43,58,31.51,57,29.62,38.82
Total,3372.98,235,14.35,179,20.40,175,19.27,18.77
