Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,81,1018.94,2.09,0.0,1021.03,83.88
Lunch,74,1292.98,6.0,0.0,1298.98,106.56
Dinner,27,435.05,0.0,0.0,435.05,35.8
No Service,56,388.9,0.0,0.0,388.9,32.01
Total,238,3135.87,8.09,0.0,3143.96,258.25
