Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2668.59,241,11.07,243,11.89,239,11.17,4.49
Table Service,1197.12,101,11.85,58,22.34,56,21.38,36.32
Total,3865.71,342,11.30,301,13.90,295,13.10,10.53
