Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,896.0,3276.72,12.14,0.0,3288.86,269.84
NA Beverage,240.0,588.99,0.0,0.0,588.99,48.48
Total,1136.0,3865.71,12.14,0.0,3877.85,318.32
