Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,61,1227.89,7.14,1235.03,101.24
Drive Thru,200,2281.79,0.0,2281.79,187.78
Take Out,34,356.03,5.0,361.03,29.3
Total,295,3865.71,12.14,3877.85,318.32
