Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,618.0,2175.88,20.26,0.0,2196.14,179.29
Drive Thru,336.0,1093.17,0.0,0.0,1093.17,89.95
Total,954.0,3269.05,20.26,0.0,3289.31,269.24
