Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,103,3388.53,83.52,3472.05,279.4
Drive Thru,131,1817.44,5.99,1823.43,149.9
Take Out,24,643.94,0.0,643.94,53.14
Total,258,5849.91,89.51,5939.42,482.44
