Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,584.0,2593.53,126.15,0.0,2719.68,213.86
Drive Thru,402.0,1311.5,35.51,0.0,1347.01,108.25
No Revenue Center,10.0,33.63,0.0,0.0,33.63,2.77
Total,996.0,3938.66,161.66,0.0,4100.32,324.88
