Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2557.72,211,12.12,214,12.94,211,12.12,11.96
Table Service,2457.17,183,13.43,104,25.57,90,27.30,45.81
Total,5014.89,394,12.73,318,17.07,301,16.66,22.08
