Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1408.52,123,11.45,126,12.10,123,11.45,10.64
Table Service,1657.5,116,14.29,63,28.48,53,31.27,42.78
Total,3066.02,239,12.83,189,17.56,176,17.42,20.32
