Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,2.0,9.98,0.0,0.0,9.98,0.82
Dining Room,418.0,1972.9,6.16,0.0,1979.06,162.76
Drive Thru,327.0,1043.53,8.45,0.0,1051.98,86.1
No Revenue Center,15.0,39.61,14.45,0.0,54.06,3.27
Total,762.0,3066.02,29.06,0.0,3095.08,252.95
