Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,7.0,21.25,0.0,0.0,21.25,1.76
Dining Room,609.0,3550.34,40.58,0.0,3590.92,292.76
Drive Thru,451.0,1622.48,11.35,0.0,1633.83,133.92
No Revenue Center,17.0,17.44,31.12,0.0,48.56,1.44
Total,1084.0,5211.51,83.05,0.0,5294.56,429.88
