Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2049.72,137,14.96,137,16.20,137,14.96,10.32
Table Service,3161.79,380,8.32,92,37.20,76,41.60,55.41
Total,5211.51,517,10.08,229,24.63,213,24.47,26.41
