Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,79,3182.25,64.35,3246.6,262.44
Drive Thru,120,1739.97,11.35,1751.32,143.6
Take Out,14,289.29,7.35,296.64,23.84
Total,213,5211.51,83.05,5294.56,429.88
