Hour of day,Net sales,Total orders,Total guests
13,571.22,21,40
7,8.77,1,1
12,2805.7,49,507
8,470.95,26,36
9,1025.85,47,81
14,441.4,18,34
11,1561.25,60,101
10,1450.88,61,108
