Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2877.62,168,17.13,165,18.88,165,17.44,9.18
Table Service,5458.4,740,7.38,133,44.43,118,46.26,44.65
Total,8336.02,908,9.18,298,30.28,283,29.46,23.97
