Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2613.78,165,15.84,167,16.94,165,15.84,12.25
Table Service,4073.88,562,7.25,122,36.14,107,38.07,43.11
Total,6687.66,727,9.20,289,25.05,272,24.59,24.39
