Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,109,4084.89,51.1,4135.99,336.63
Drive Thru,140,2214.21,16.7,2230.91,182.51
Take Out,23,388.56,0.0,388.56,31.99
Total,272,6687.66,67.8,6755.46,551.13
