Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1534.0,5611.36,67.8,0.0,5679.16,462.54
NA Beverage,486.0,1054.34,0.0,0.0,1054.34,86.77
Liquor,4.0,21.96,0.0,0.0,21.96,1.82
Total,2024.0,6687.66,67.8,0.0,6755.46,551.13
