Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,47,1186.29,3.07,1189.36,97.78
Drive Thru,133,1943.02,0.0,1943.02,160.08
Take Out,15,165.58,0.0,165.58,13.66
Total,195,3294.89,3.07,3297.96,271.52
