Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2110.89,149,14.17,149,15.33,149,14.17,5.38
Table Service,1184.0,101,11.72,49,26.15,46,25.74,34.77
Total,3294.89,250,13.18,198,18.01,195,16.90,12.31
