Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2924.6,185,15.81,186,17.02,185,15.81,12.20
Table Service,4146.6,294,14.10,117,38.36,101,41.06,46.70
Total,7071.2,479,14.76,303,25.26,286,24.72,24.39
