Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,103,4154.14,141.9,4296.04,342.58
Drive Thru,149,2349.99,11.35,2361.34,193.88
Take Out,34,567.07,6.28,573.35,46.81
Total,286,7071.20,159.53,7230.73,583.27
