Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,51,1010.84,8.97,1019.81,83.28
Drive Thru,180,1691.93,0.0,1691.93,139.22
Take Out,34,383.6,0.0,383.6,31.54
Total,265,3086.37,8.97,3095.34,254.04
