Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1157.0,4496.94,102.21,0.0,4599.15,370.72
NA Beverage,356.0,826.85,5.96,0.0,832.81,67.81
Liquor,13.0,81.38,0.0,0.0,81.38,6.73
Bottled Beer,1.0,3.99,0.0,0.0,3.99,0.33
Draft Beer,3.0,32.97,0.0,0.0,32.97,2.73
Total,1530.0,5442.13,108.17,0.0,5550.30,448.32
