Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2629.14,210,12.52,211,13.49,209,12.58,10.02
Table Service,2812.99,212,13.27,119,25.59,105,26.79,39.13
Total,5442.13,422,12.90,330,17.85,314,17.33,19.75
