Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,111,2883.21,96.76,2979.97,237.53
Drive Thru,183,2309.93,8.52,2318.45,190.28
Take Out,20,248.99,2.89,251.88,20.51
Total,314,5442.13,108.17,5550.30,448.32
