Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1530.0,5442.13,108.17,0.0,5550.3,448.32
Total,1530.0,5442.13,108.17,0.0,5550.3,448.32
