Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1937.62,131,14.79,135,15.54,131,14.79,5.29
Table Service,1007.65,77,13.09,39,27.97,37,27.23,33.39
Total,2945.27,208,14.16,174,18.32,168,17.53,11.48
