Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,38,1011.1,7.24,1018.34,83.39
Drive Thru,108,1577.69,4.69,1582.38,129.95
Take Out,22,356.48,0.0,356.48,29.41
Total,168,2945.27,11.93,2957.20,242.75
