Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,70,1176.17,11.93,0.0,1188.1,96.97
Lunch,98,1769.1,0.0,0.0,1769.1,145.78
Total,168,2945.27,11.93,0.0,2957.2,242.75
