Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,700.0,2502.31,11.93,0.0,2514.24,206.26
NA Beverage,178.0,442.96,0.0,0.0,442.96,36.49
Total,878.0,2945.27,11.93,0.0,2957.20,242.75
