Tax rate,Tax amount,Taxable amount
Tax,242.6,2943.27
TX SPECIAL TAX,0.01,2.0
TX CITY TAX,0.02,2.0
TX STATE TAX,0.12,2.0
Non Taxable,0.0,0.0
