Tax rate,Tax amount,Taxable amount
Tax,271.01,3289.54
TX SPECIAL TAX,0.09,11.2
TX CITY TAX,0.14,11.2
TX STATE TAX,0.7,11.2
Non Taxable,0.0,0.0
