Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,37,938.89,0.61,939.5,77.37
Drive Thru,140,2106.06,0.0,2106.06,173.5
Take Out,24,255.79,2.99,258.78,21.07
Total,201,3300.74,3.60,3304.34,271.94
