Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2180.08,199,10.96,201,11.74,197,11.07,4.79
Table Service,1034.34,85,12.17,50,22.39,48,21.55,32.90
Total,3214.42,284,11.32,251,13.86,245,13.12,10.30
