Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,66,1749.26,49.43,1798.69,144.27
Drive Thru,117,1406.27,24.96,1431.23,116.08
Take Out,16,260.68,33.47,294.15,21.54
Total,199,3416.21,107.86,3524.07,281.89
