Hour of day,Net sales,Total orders,Total guests
6,92.84,13,13
7,355.24,28,30
8,325.5,29,30
9,584.57,44,55
10,395.59,30,41
11,853.13,41,55
12,407.58,22,26
13,372.38,14,28
14,927.29,10,52
15,199.54,10,15
16,253.77,14,21
17,537.78,14,36
18,565.71,21,45
19,139.15,8,10
20,68.73,5,5
