Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,97,3562.95,45.51,3608.46,293.71
Drive Thru,190,2334.08,10.83,2344.91,192.41
Take Out,16,181.77,0.0,181.77,14.96
Total,303,6078.80,56.34,6135.14,501.08
