Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,586.0,1977.3,6.08,0.0,1983.38,162.86
Drive Thru,393.0,1153.12,29.82,0.0,1182.94,94.88
Total,979.0,3130.42,35.90,0.0,3166.32,257.74
