Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,44,792.89,1.28,794.17,65.35
Uber Eats - Takeout,1,27.46,0.0,27.46,2.27
Drive Thru,174,1828.88,34.62,1863.5,150.52
Take Out,38,481.19,0.0,481.19,39.6
Total,257,3130.42,35.90,3166.32,257.74
