Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2337.53,213,10.97,216,11.71,213,10.97,6.51
Table Service,792.89,68,11.66,46,18.66,44,18.02,40.58
Total,3130.42,281,11.14,262,12.93,257,12.18,12.34
