Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1963.0,7084.38,79.26,0.0,7163.64,583.81
Total,1963.0,7084.38,79.26,0.0,7163.64,583.81
