Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2878.67,229,12.57,233,13.37,228,12.63,17.30
Table Service,4205.71,293,14.35,163,27.93,140,30.04,39.69
Total,7084.38,522,13.57,396,19.36,368,19.25,25.82
