Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,143,4215.27,54.79,4270.06,347.28
Drive Thru,189,2300.45,14.65,2315.1,189.64
Take Out,36,568.66,9.82,578.48,46.89
Total,368,7084.38,79.26,7163.64,583.81
