Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3506.2,253,13.86,255,14.88,253,13.86,10.79
Table Service,5112.82,353,14.48,177,31.27,148,34.55,43.16
Total,8619.02,606,14.22,432,21.60,401,21.49,22.74
