Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,112,1847.4,56.77,0.0,1904.17,152.3
Lunch,112,2189.02,16.41,0.0,2205.43,180.36
Dinner,59,1363.11,35.84,0.0,1398.95,112.32
No Service,44,528.69,1.37,0.0,530.06,43.65
Total,327,5928.22,110.39,0.0,6038.61,488.63
