Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1653.0,5928.22,75.45,0.0,6003.67,488.63
No Revenue Center,7.0,0.0,34.94,0.0,34.94,0.0
Total,1660.0,5928.22,110.39,0.0,6038.61,488.63
