Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2713.33,212,12.80,211,13.92,211,12.86,9.36
Table Service,3214.89,244,13.18,132,26.36,116,27.71,36.87
Total,5928.22,456,13.00,343,18.71,327,18.13,19.12
