Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,80,1569.77,36.15,1605.92,129.33
Drive Thru,224,2634.22,0.0,2634.22,216.84
Take Out,47,811.14,3.0,814.14,66.87
Total,351,5015.13,39.15,5054.28,413.04
