Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3461.16,276,12.54,278,13.48,276,12.54,4.92
Table Service,1553.97,128,12.14,77,21.84,75,20.72,35.30
Total,5015.13,404,12.41,355,15.29,351,14.29,11.42
