Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2312.17,165,14.01,158,15.84,157,14.73,5.50
Table Service,1408.48,111,12.69,48,31.76,45,31.30,36.10
Total,3720.65,276,13.48,206,19.55,202,18.42,12.32
