Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,46,1410.98,0.0,1410.98,116.35
Drive Thru,137,1982.62,0.0,1982.62,163.24
Take Out,19,327.05,3.6,330.65,26.91
Total,202,3720.65,3.6,3724.25,306.50
